npsn,nama_sekolah,akreditasi,alamat,kelurahan,kecamatan
20109575,SDS Holy Angels,Tidak Terakreditasi,Jl. Taman Aries Utama No. 8,Meruya Utara,Kembangan
20104301,SDS Hudatul K.,B,Jl. Mesjid Al Mabruk,Balekambang,Kramat Jati
20108964,SDS I Hidayatul Islamiyah,A,Jl. Sapi perah Gg.Madrasah,Pondok Ranggon,Cipayung
20109087,SDS I. T. Al Manar,A,Jl. Pd. Kelapa Selatan,Pondok Kelapa,Duren Sawit
20109078,SDS I. T. Asy. Syakiriin,A,Jl. Betung VIII / No. 326,Pondok Bambu,Duren Sawit
20108871,SDS Ibnu Sina,A,Jl. Madrasah II No.10,Duren Sawit,Duren Sawit
20109405,SDS Ichthus School,A,Jl. H. Batong 1- 1A/Jl.Caringin Barat No. 1,Cilandak Barat,Cilandak
20105680,SDS Ichtus,A,Jl. Surya Mandala III Blok N2-11,Kedoya Utara,Kebon Jeruk
,SDS Immanuel,B,Jl. Kemenangan VIII Dalam No. 1 A,Glodok,Taman Sari
20105682,SDS Immanuel,A,Jl. Al-Amanah Raya A No. 145,Wijaya Kusuma,Grogol Petamburan
20101745,SDS Impian Bunda,A,"Jl.Flamboyan Utama III Blok C-9, No.1A",Duri Kosambi,Cengkareng
69753975,SDS Indonesia Persada Gemilang,A,Jl. Utan Kayu No. 20,Utan Kayu Utara,Matraman
20103082,SDS Indriyasana,A,Jl. H. Ramli Utara No. 29,Menteng Dalam,T e b e t
20108957,SDS Insan Mulia,A,Jl. Al-Barkah Raya No. 99,Rawa Buaya,Cengkareng
20105684,SDS Ipeka Puri,A,Jl. Puri Indah Blok I,Kembangan Selatan,Kembangan
20106277,SDS Islam Ahdi,A,Kemang Raya 84,Bangka,Mampang Prapatan
20109394,SDS Islam Al - I'tishom,A,jL. TANJUNG BARAT SELATAN,Tanjung Barat,Jagakarsa
20103935,SDS Islam Al Azhar 19,A,Jl. Sentra Primer Baru Timur,Pulo Gebang,Cakung
69758274,SDS Islam Al Hambra,Tidak Terakreditasi,Jl. Kubur Islam No. 55 A,Grogol Selatan,Kebayoran Lama
20103936,SDS Islam Al Hilal,B,Jl. Raya Bekasi Km 25,Cakung Timur,Cakung
20105685,SDS Islam Al-Huriyyah,B,Jl. kebon Jahe No. 65,Kapuk,Cengkareng
20109394,SDS Islam Al-I'tishom,A,Jl. Tanjung Barat Selatan,Lenteng Agung,Jagakarsa
20108983,SDS Islam An Nur,C,"Jl. Batu Saphir No. 50, Pulomas",Kayu Putih,Pulo Gadung
20103075,SDS Islam An-Nuriyah,A,Jl. Timbul No. 60,Cipedak,Jagakarsa
20106279,SDS Islam Assaadah,B,Jl. Puri Mutiara II / 29 A,Cilandak Barat,Cilandak
20108427,SDS Islam Assa'adah,B,Jl. Tanjung Lengkong No.21,Bidara Cina,Jatinegara
20109215,SDS Islam Assa'adah,B,Jl. Madrasah No. 14,Cipinang,Pulo Gadung
20109016,SDS Islam At Taubah,A,Jl. Pulo Mas Barat No. V,Kayu Putih,Pulo Gadung
20109114,SDS Islam At-Taqwa,A,Jl. Daksinapati Raya No. 2,Rawamangun,Pulo Gadung
20106312,SDS Islam Avicenna,A,Jl. RM. Kahfi II No. 66,Jagakarsa,Jagakarsa
20105686,SDS Islam Bahagia,B,Jl. Kali Anyar Raya No. 18,Kalianyar,Tambora
20109083,SDS Islam Darus Syifa,Tidak Terakreditasi,Jl. Sungai Barito No. 45 B,Semper Barat,Cilincing
69769373,SDS Islam Ibnu Hajar,Tidak Terakreditasi,Jl. Raya Munjul Gg. Musholah No.11,Munjul,Cipayung
20105687,SDS Islam Perti,B,Jl.Tawakal Raya No.99,Tomang,Grogol Petamburan
20109461,SDS Islam Rawasari,C,Jl. Rawasari Barat. VII No. E108,Cempaka Putih Timur,Cempaka Putih
20106281,SDS Islam RPI,A,Jl. H. R. Rasuna Said,Kuningan Timur,Setia Budi
20105688,SDS Islam Tambora,B,Jl. Tambora Mesjid No. 11,Tambora,Tambora
20108980,SDS Islam Teladan Yasmin,B,Jl. Raya Bogor Km. 27,Pekayon,Pasar Rebo
20104776,SDS Islam Terpadu Meranti,A,Jl. Kalibaru Tim. V/15,Bungur,S e n e n
20105689,SDS Islam Terpadu Yasiru,A,Jl. Pahlawan 3 No.46,Sukabumi Selatan,Kebon Jeruk
20109341,SDS Islam Tugasku,A,Jl. Pulomas Jaya No. 2,Kayu Putih,Pulo Gadung
20102743,SDS IT Al Ittihaad,A,Tebet Mas Indah 1,Tebet Barat,T e b e t
69760682,SDS IT Darul Ma'Arif Islamic School,Tidak Terakreditasi,Jl. Padat karya,Pondok Kelapa,Duren Sawit
20109192,SDS IT. As Sa'adah,A,Jl. Jaha No. 17,Kalisari,Pasar Rebo
NP418775,SDS Izzatus Sunnah,Tidak Terakreditasi,Jl. Mundu I Blok N Kav. No 9,Jati,Pulo Gadung
20109108,SDS Jakarta Islamic School,A,Jl. Manunggal I No.17,Cipinang Melayu,Makasar
20110342,SDS Jakarta Islamic School,A,Jl. Rudal V No. 16 Kavling Hankam,Joglo,Kembangan
NP567838,SDS Jakarta World Academy,Tidak Terakreditasi,Jl. MH. Thamrin No. 10,Kebon Melati,Tanah Abang
20105036,SDS Jawamiul Ulum,Tidak Terakreditasi,Jl. Dukuh Timur No. 59,Semper Barat,Cilincing
20105037,SDS Jembatan Baru,B,Jl. Inspeksi Kali Sunter,Kelapa Gading Barat,Kelapa Gading
20105690,SDS 'JOY',B,Jl. Jembatan Item No. 2-9-11,Pekojan,Tambora
NP579416,SDS Juara,Tidak Terakreditasi,Jl. Kemanggisan Pulo 2,Palmerah,Palmerah
NP925235,SDS Juara,A,Jl. Swasembada Timur XIII No. 46-50,Kebon Bawang,Tanjung Priok
20109347,SDS Jubille,A,Jl. Sunter Jaya I,Sunter Agung,Tanjung Priok
20105022,SDS K. Diakonia,A,Jl. Pluit Utara Raya No. 2,Pluit,Penjaringan
20105040,SDS K. Harapan Mulia,B,Jl. Pademangan Ujung Blok D,Pademangan Timur,Pademangan
20109055,SDS Kairos Gracia,A,Jl. Citra Garden II Blok P6/I,Pegadungan,Kalideres
20105691,SDS Kalam Kudus,A,Jl. Tangki Lio Timur No. 48-49,Tangki,Taman Sari
20105693,SDS Kalam Kudus III,A,Kosambi Baru Blok D4 No 1,Duri Kosambi,Cengkareng
20105694,SDS Kali Baru,B,Jl. Kali Anyar V No. 18,Kalianyar,Tambora
20105047,SDS Kampung Sawah,B,Jl. Raya Cakung Cilincing,Semper Timur,Cilincing
20109429,SDS Kanaan,A,JL. KRAN RAYA NO. 7 JAKARTA PUSAT,Gunung Sahari Selatan,Kemayoran
20105695,SDS Kanaan Global School,A,Jl. Boulevard Blok L2 Perum Taman Surya III,Pegadungan,Kalideres
20104750,SDS Karmel,B,Jl. Taruna IX/1,Serdang,Kemayoran
20108998,SDS Kartika VIII -1,A,Jl. Anyelir Cijantung II,Gedong,Pasar Rebo
20110020,SDS Kartika VIII-2,A,Jl. Rantai Emas Bulak Rantai,Kampung Tengah,Kramat Jati
20106287,SDS Kartika VIII-5,A,Jl. Seroja Komp. Zikon 13,Srengseng Sawah,Jagakarsa
20105041,SDS Kartika VIII-7,B,Jl. Lagoa Kanal Komp. TNI AD,Kebon Bawang,Tanjung Priok
20109373,SDS Kartika X-1,B,Jl. Jend. Urip Sumohardjo No.12,Bali Mester,Jatinegara
20106285,SDS Kartika X-2,A,Jl. Anggrek No. 1,Pesanggrahan,Pesanggrahan
20106286,SDS Kartika X-4,A,Jl. Prajurit No. 1,Pesanggrahan,Pesanggrahan
20108879,SDS Kartika X-4,A,Jl. Temulawak IV KPAD,Cibubur,Ciracas
20105696,SDS Kartika X-5,B,Jl. Daan Mogot Km. 17,Kalideres,Kalideres
20106284,SDS Kartika X-6,A,Jl. CENDRAWASIH RAYA,Kebayoran Lama Selatan,Kebayoran Lama
20103931,SDS Kartika X-7,A,KPAD Jl. Pomad No.1,Cipinang Melayu,Makasar
20108323,SDS Kartika XI-4,B,Jl. Kesatrian V No. 1,Pal Meriem,Matraman
20101755,SDS Kartini,C,Jl. Cengkareng Indah AC 28-29,Kapuk,Cengkareng
20104751,SDS Kartini,A,"Jl. Kalibaru Timur V, No. 1",Utan Panjang,Kemayoran
20105698,SDS Kartini,C,Jl. Mangga Besar Raya No. 77,Tangki,Taman Sari
20105699,SDS Kartini,B,Jl. KS. Tubun I No.16 Rt.010/04 K,Kota Bambu Utara,Palmerah
20105043,SDS Kasih Ananda,A,Jl. Raya Pengangsaan Dua No.3,Pegangsaan Dua,Kelapa Gading
20101757,SDS Kasih Bunda,A,Jl. Taman Kota Blok E No.5,Kembangan Utara,Kembangan
20110263,SDS Kasih Bunda,Tidak Terakreditasi,Jl. Taman Sari VIII No. 68-70,Taman Sari,Taman Sari
20105044,SDS Kasih Imanuel,B,Jl. Kampung Sawah,Semper Timur,Cilincing
20109909,SDS Kasih Immanuel,A,TAMAN PALEM LESTARI A10/5,Cengkareng Barat,Cengkareng
20105045,SDS Kebon Baru I,A,Jl. Blok X Gg. IV/ 25,Semper Barat,Cilincing
20105046,SDS Kedang Uyelewung,B,Jl. Muara Bahari Bak Air II/29,Tanjung Priok,Tanjung Priok
20109430,SDS KeenKids,A,Jl. Ciputat Raya No. 2,Kebayoran Lama Utara,Kebayoran Lama
20106288,SDS Kemala Bhayangkari 3,A,Ampera Raya Komplek Polri Jl. C,Ragunan,Pasar Minggu
20103088,SDS Kemala Bhayangkari 4,A,Jl. Pondok Karya II C / 22,Pela Mampang,Mampang Prapatan
20109132,SDS Kemala Bhayangkari 5,A,Komplek Polri Cipinang,Cipinang,Pulo Gadung
20104839,SDS Kemala Bhayangkari I,A,Jl. Rorotan XII,Rorotan,Cilincing
20109471,SDS Kembang,A,Kemang 2 No. 1,Bangka,Mampang Prapatan
20105703,SDS Kemuliaan,B,Jl. Manunggal Kalipasir No. 1,Kapuk,Cengkareng
20105704,SDS Kemuliaan Bunda,A,Jl. Terate Raya No. 43,Jembatan Lima,Tambora
20105705,SDS Kemurnian,A,Jl. Kemurnian V No. 209,Glodok,Taman Sari
20105706,SDS Kemurnian II,A,Komp. Green Ville Blok Q No.209,Duri Kepa,Kebon Jeruk
20105707,SDS Kemurnian III,A,Perum Citra II Blok A/3,Pegadungan,Kalideres
20104754,SDS Kencana,A,Jl. Waja III No. 1,Harapan Mulia,Kemayoran
20104755,SDS Kepodang,A,Jl. Tmn Sunda Kelapa No.16A,Menteng,Menteng
20105708,SDS Kertapawitan,A,Jl. Komp. Imigrasi No. 49,Cengkareng Barat,Cengkareng
20105709,SDS Ketapang II,A,Jl Panjang No. 1 Q,Kedoya Utara,Kebon Jeruk
20104757,SDS Khairul Uswah,C,Jl. Petamburan II no.43,Petamburan,Tanah Abang
69726767,SDS Kinderfield,A,Jalan Bisma Raya Blok A No 57,Tanjung Priok,Tanjung Priok
69758231,SDS Kinderfield,A,Jl. Raya Rawa Domba No.88,Duren Sawit,Duren Sawit
20103884,SDS Kresna,B,Jl. Mandala V,Cililitan,Kramat Jati
20103882,SDS Krida Putra,B,Jl. Cipinang Baru Komp. Kehakiman,Cipinang,Pulo Gadung
20108429,SDS Krishna,B,Jl. O. Iskandardinata II No.25,Bidara Cina,Jatinegara
20109017,SDS Kristen 4 PENABUR,A,Jl. Tarum Barat Cipinang Indah,Pondok Bambu,Duren Sawit
20104758,SDS Kristen Anugerah,A,Jl. Kartini Raya No. 10 - 11 Pasar Baru,Pasar Baru,Sawah Besar
20108436,SDS Kristen Berkat,A,Jl. Raya Jatinegara Timur No. 89,Bali Mester,Jatinegara
20104760,SDS Kristen Bethel,A,Jl. Petamburan IV No.4,Petamburan,Tanah Abang
20103880,SDS Kristen Cahaya Bangsa,A,Jl. Kelurahan Ujung Menteng,Ujung Menteng,Cakung
20105710,SDS Kristen Cenderawasih,A,Jl. Cenderawasih Raya No. 60,Cengkareng Barat,Cengkareng
20105655,SDS Kristen El-Shaddai,A,Jl. Citra Garden 5 Blok D6 No. 1,Pegadungan,Kalideres
20105048,SDS Kristen Genezaret,B,Jl. Bandengan Utara No. 40 D,Penjaringan,Penjaringan
20104761,SDS Kristen Halelluyah,A,Jl. Industri I No. 34 - 35 Gunung Sahari Utara,Gunung Sahari Utara,Sawah Besar
20104762,SDS Kristen I BPK Penabur,A,Jl. H. Samanhudi No. 29 Pasar Baru,Pasar Baru,Sawah Besar
20104763,SDS Kristen II BPK Penabur,A,Jl. Pembangunan I/ 23,Petojo Utara,Gambir
20100187,SDS Kristen III Penabur,A,Jl. Gunung Sahari 90A,Gunung Sahari Selatan,Kemayoran
20109344,SDS Kristen IPEKA Pluit,A,Jl. Pluit Timur Blok B Utara No.1,Pluit,Penjaringan
20105050,SDS Kristen Ipeka Sunter,A,Jl. Agung Permai No. 15,Sunter Agung,Tanjung Priok
20105711,SDS Kristen IPEKA Tomang,A,Komp. Green Ville Blok SD,Duri Kepa,Kebon Jeruk
20106290,SDS Kristen IX Penabur,A,Jl. Halimun No. 5,Guntur,Setia Budi
20105692,SDS Kristen Kalam Kudus II,A,Jl. Daan Mogot komplek Green Garden Blok B4 No. 1,Kedoya Utara,Kebon Jeruk
20104766,SDS Kristen Karunia,B,Jl. Gereja Ayam No. 12 Pasar Baru,Pasar Baru,Sawah Besar
20104756,SDS Kristen Ketapang I,A,Jl. K.H. Zainul Arifin No. 35,Petojo Utara,Gambir
20109051,SDS Kristen Lemuel II,A,Jl. Raya Pos Pengumben No.30,Sukabumi Selatan,Kebon Jeruk
20104767,SDS Kristen Nazarene,B,Jl. Karang Ayar Utara No 4,Karang Anyar,Sawah Besar
20105051,SDS Kristen Nazaret,B,Jl. Jembatan Dua No 29,Pejagalan,Penjaringan
20106291,SDS Kristen Ora Et Labora,A,Jalan Panglima Polim I Blok N.1,Melawai,Kebayoran Baru
20105714,SDS Kristen Penabur XI,A,Jl. Surya Bahagia II Sunrise Garden,Kedoya Utara,Kebon Jeruk
20105715,SDS Kristen Tiara Kasih,A,Jl. Taman Semanan Indah Blok C 1,Duri Kosambi,Cengkareng
20108894,SDS Kristen Tiranus,A,Jl. Pondok Kopi Timur Blok W.I,Pondok Kopi,Duren Sawit
20105788,SDS Kristen Tunas Bangsa,A,Perumahan Citra Garden 3 Extension Blok A6 No 1,Pegadungan,Kalideres
20108872,SDS Kristen VIII Penabur,A,Jl. Taman Hijau Daun No. 24,Cipinang Cempedak,Jatinegara
20105052,SDS Kristen X BPK. Penabur,A,Jl. Layar Permai 6 Blok SD 2 PIK,Pluit,Penjaringan
20105053,SDS Kristen Yusuf,A,"Jl. Arwana II No 16, Jembatan Dua",Pejagalan,Penjaringan
20112436,SDS Ksatria Bangsa,A,Jl. Matraman Raya No. 198-202,Kampung Melayu,Jatinegara
20102704,SDS Kupu-Kupu,A,Jl. Bangka VII Dalam No. 14,Pela Mampang,Mampang Prapatan
20106292,SDS Kwitang 6 PSKD,A,Jl. Bulungan No. 70,Kramat Pela,Kebayoran Baru
20104768,SDS Kwitang I PSKD,B,Jl. Tmn. Kb. Sirih III No. 46A,Kampung Bali,Tanah Abang
20104769,SDS Kwitang II PSKD,A,Jl. Kramat IV/29,Kenari,S e n e n
20109148,SDS Kwitang III PSKD,A,Jl. Slamet Riyadi No. 3,Kebon Manggis,Matraman
20109086,SDS Laboratorium Jakarta,A,Jl. Rawa Jaya Rt. 008/ 04 No. 34,Pondok Kopi,Duren Sawit
20106293,SDS Laboratorium PGSD,A,Jl. Setiabudi I/1 Setiabudi Jakarta Seltan,Setia Budi,Setia Budi
20105054,SDS Lagoa (YPUL),B,Jl. Lagoa Gg. III,Lagoa,K o j a
20109159,SDS Lakeside Montessori School,Tidak Terakreditasi,Villa Cibubur Indah Blok UI No. 16,Cibubur,Ciracas
20105716,SDS Laksa Bakti,Tidak Terakreditasi,Jl. Laksa III No. 60 A,Jembatan Lima,Tambora
20105717,SDS Lamaholot,A,Jl. Jagung Raya Bojong Indah,Rawa Buaya,Cengkareng
20109512,SDS Lazuardi Cordova GIS,A,Jl. Meruya Selatan Raya No. 27,Meruya Selatan,Kembangan
20104770,SDS Lembaga Putra Kita,B,Jl. Sukabumi III/ 2,Menteng,Menteng
20105718,SDS Lemuel I,A,Jl. K.S. Tubun No. 2 A,Slipi,Palmerah
20102367,SDS Lentera Indonesia,A,Jl. Sultan Iskandar Muda No. 98,Kebayoran Lama Selatan,Kebayoran Lama
20105055,SDS Lentera Kasih,A,Jl. SUNTER PERMAI RAYA No. 8,Sunter Jaya,Tanjung Priok
20108943,SDS Lia Stephanie,A,Taman Palem Lestari Blok D7/32,Cengkareng Barat,Cengkareng
20109937,SDS Lilin Bangsa,Tidak Terakreditasi,Raya Mediterania Blok BB No. 1,Kelapa Gading Barat,Kelapa Gading
20105056,SDS Lydia,Tidak Terakreditasi,Jl. Biru Laut Timur No. 20,Kelapa Gading Timur,Kelapa Gading
20109155,SDS Madina Islamic School,A,Jl. Tebet Dalam 1V No. 1,Tebet Barat,T e b e t
69768298,SDS Mahabodhi Vidya Plus,A,Jl. Palem Anggur Kav. 8 Citra Garden 3,Pegadungan,Kalideres
20101093,SDS Mahaprajna,A,Jl. Cilincing Lama No.3,Cilincing,Cilincing
20109039,SDS Mahatma Gading,A,Komp. Villa Gading Indah Blok D,Kelapa Gading Barat,Kelapa Gading
69889102,SDS Mahatma Gading Intercultural,Tidak Terakreditasi,Jl. Boulevard Bgr Komp Villa Gading Indah Blok. Q,Kelapa Gading Barat,Kelapa Gading
20104771,SDS Mahatma Gandhi (Kemayoran),A,Jl. Tabing Blok B16 No.3 Gunung Sahari Utara,Gunung Sahari Utara,Sawah Besar
20104772,SDS Mahatma Gandhi (Ps. Baru),A,Jl. Pasar Baru Selatan No. 10,Pasar Baru,Sawah Besar
20105721,SDS Makarios,A,Jl. Raya Kembangan Baru No. 1,Kembangan Selatan,Kembangan
20106296,SDS Manaratul Ulum,B,Jl. Mesjid Darussalam No. 3,Gandaria Utara,Kebayoran Baru
20104773,SDS Mangga Besar 13,B,Jl. Mangga Besar XIII / 1 Mangga Dua Selatan,Mangga Dua Selatan,Sawah Besar
20108324,SDS Marsudirini I,A,Jl. Matraman Raya No. 129,Pal Meriem,Matraman
20109353,SDS Mas Intan,B,Jl. Kp. Bahari III A9 No. 165,Tanjung Priok,Tanjung Priok
,SDS Masjid Agung Sunda Kelapa,Tidak Terakreditasi,jl.Taman Sunda Kelapa no 16,Menteng,Menteng
20105060,SDS Mawar Saron,A,Jl.Kelapa Hybrida Timur,Pegangsaan Dua,Kelapa Gading
20108991,SDS Mekar Sari,B,Jl. Batu Sulaeman No. 1,Kayu Putih,Pulo Gadung
20105061,SDS Mekar Tanjung,B,Jl. Warakas VIII No. 46,Warakas,Tanjung Priok
20108958,SDS Melania I,A,Jl. Mangga Besar VI Selatan No. 84,Taman Sari,Taman Sari
20104775,SDS Melania III,B,Jl. Percetakan Negara No. 31,Cempaka Putih Barat,Cempaka Putih
20106297,SDS Melati Don Bosco,A,"Jl. Duta Indah, Pondok Indah",Cilandak Barat,Cilandak
20105723,SDS Mentari,B,Jl. Kebon Dua Ratus,Kamal,Kalideres
20106298,SDS Mentari,A,Jl. H. Jian No. 6,Cipete Utara,Kebayoran Baru
20109158,SDS Mentari Ar-Ridho Islamic School,A,Jl. Anggrek Utara No. 4,Pulo Gebang,Cakung
69756613,SDS Mentari Grand Surya,A,Jl. Taman Surya No 5 Blok MM2,Pegadungan,Kalideres
Merdekas,SDS Merdekasari,B,Jl. Kapuk Kebun Jahe,Kapuk,Cengkareng
20100352,SDS Merpati,B,Jl. Batutulis XIII/ 18,Kebon Kelapa,Gambir
20105062,SDS Methodist,A,Jl. Terusan Bandengan. Utara 91AY,Pejagalan,Penjaringan
20105725,SDS Miftahul Falah,A,jl.Swadarma Raya No. 15,Srengseng,Kembangan
20108944,SDS Miftahul Mu'in,B,Jl. Cipondoh Rt. 009/08,Semanan,Kalideres
20102068,SDS Miftahul Ulum,A,Jl. Bahari ll No. 105,Tanjung Priok,Tanjung Priok
20104780,SDS Miranti,C,Jl. Taman Amir Hamzah No. 24,Pegangsaan,Menteng
20105720,SDS MKGR,A,Jl. Raya Kebonjeruk No.1,Kebon Jeruk,Kebon Jeruk
20109172,SDS Montessori Gading Permata,A,Jl. Boulevard Artha Gading Kav.D No.10,Kelapa Gading Barat,Kelapa Gading
20106300,SDS Mubasysirin,B,Jl. Karbela Selatan V No. 1,Karet,Setia Budi
20104781,SDS Mudatziriyah,A,Jl. F. Raya Komp. Listrik,Utan Panjang,Kemayoran
20105065,SDS Muhamadiyah 17,A,JL. KAMPUNG BAHARI GANG ll NO. 68,Tanjung Priok,Tanjung Priok
20105066,SDS Muhamadiyah 18,B,Jl. KALIBARU BARAT VII,Kalibaru,Cilincing
20104782,SDS Muhamadiyah 56,A,Jl. K. H. Mas Mansur No. 65,Kebon Melati,Tanah Abang
20106301,SDS Muhammadiyah 06,A,Jl. Tebet Timur Raya No.565,Tebet Timur,T e b e t
20108891,SDS Muhammadiyah 08 Plus,A,Jl. Bunga Rampai X,Malaka Jaya,Duren Sawit
20108431,SDS Muhammadiyah 11,B,Jl. Tanjung Lengkong No. 04,Bidara Cina,Jatinegara
20106302,SDS Muhammadiyah 16,A,Jl. Bukit Duri Tanjakan No. 10-11,Bukit Duri,T e b e t
20104783,SDS Muhammadiyah 21,B,Jl. Gunung Sahari XI No.19,Gunung Sahari Utara,Sawah Besar
20105064,SDS Muhammadiyah 22,B,Jl. Mundu Luar No. 1,Lagoa,K o j a
20108437,SDS Muhammadiyah 23,A,Jl. Rambutan No. 4,Utan Kayu Utara,Matraman
20109150,SDS Muhammadiyah 24,A,Jl. Bala Pustaka Barat No.2,Rawamangun,Pulo Gadung
20105727,SDS Muhammadiyah 25,B,Jl. Kesederhanaan Dalam No. 66,Keagungan,Taman Sari
20105728,SDS Muhammadiyah 26,B,Tanah Sereal X No.8 Nusa Damai IV,Tanah Sareal,Tambora
20105729,SDS Muhammadiyah 27,A,Jl. Gelong Baru Tomang,Tomang,Grogol Petamburan
20106303,SDS Muhammadiyah 28,A,Jl. Panjang Cidodol,Cipulir,Kebayoran Lama
20108325,SDS Muhammadiyah 3,A,Jl. KH.Ahmad Dahlan No. 20 Matraman Jakarta Timur,Kayu Manis,Matraman
20108892,SDS Muhammadiyah 4,B,Jl. Dewi Sartika 316.A,Cililitan,Kramat Jati
20108985,SDS Muhammadiyah 41,A,Jl. Marmer No. 7 - 9 - 11,Kayu Putih,Pulo Gadung
20105730,SDS Muhammadiyah 48,B,Jl. Anggrek Rosliana Raya Blok F-4,Kemanggisan,Palmerah
20104784,SDS Muhammadiyah 49,B,"Jl. H. Ung RT 013 RW 02, No. 419",Utan Panjang,Kemayoran
20106305,SDS Muhammadiyah 5,A,Jl. Limau I-II-III BLOK B,Kramat Pela,Kebayoran Baru
20104785,SDS Muhammadiyah 50,B,Jl. Galindra Kemayoran Gempol,Kebon Kosong,Kemayoran
20106306,SDS Muhammadiyah 52,A,Jl. Kampung Melayu Kecil I No.52,Bukit Duri,T e b e t
20104786,SDS Muhammadiyah I,A,Jl. Garuda No 33,Gunung Sahari Selatan,Kemayoran
20104787,SDS Muhammadiyah II,B,Jl. Kramat Raya No. 49,Kramat,S e n e n
20105726,SDS Muhammadiyah X,B,Jl. Dr. Susilo I,Grogol,Grogol Petamburan
20109898,SDS Mulia Kencana,B,PERUM TAMAN KENCANA BLOK C1/7,Cengkareng Barat,Cengkareng
20105731,SDS Murtini,A,Jl. Kramat Jalan Dalam No. 4 Tanah Sereal XVII,Tanah Sareal,Tambora
20105732,SDS Muslimat,A,Jl. Peta Selatan II No. 62,Kalideres,Kalideres
20104788,SDS Muslimin,B,Jl. Kramat Raya No. 11,Kramat,S e n e n
20108986,SDS Mustika,B,Jl. Bekasi Timur Km. 15,Cipinang,Pulo Gadung
20109270,SDS Mutiara Bangsa 3,A,Jl. Jelambar Barat III No. 5B,Jelambar Baru,Grogol Petamburan
20105067,SDS Mutiara II,B,Jl. Warakas Raya No. 3-4,Warakas,Tanjung Priok
,SDS Nabawi Islamic School,Tidak Terakreditasi,Jl. Sawo Raya No. 24 Kav 436,Rawamangun,Pulo Gadung
20109213,SDS Narada,A,Perum Kosambi Baru Blok.A Ext.1,Duri Kosambi,Cengkareng
20104791,SDS Nasional I Pg.,B,Jl. Martapura Ujung No.1A,Kebon Melati,Tanah Abang
69830191,SDS Nation First School,Tidak Terakreditasi,Jl. Jembatan Tiga No.36 BE-BI Komplek Tama Indah,Penjaringan,Penjaringan
20104792,SDS Nazareth Kudus,B,Jl. Kalibaru Timur VI No. 7,Bungur,S e n e n
69889001,SDS New Zealand Independent School,Tidak Terakreditasi,Jl. Kemang Selatan I No. 1A,Bangka,Mampang Prapatan
20106308,SDS Niaga Ekasari,A,Jl. Perdagangan IV No. 32,Bintaro,Pesanggrahan
20104793,SDS Nirwana,B,Jl. Jati Bundar VII No. 181,Kebon Melati,Tanah Abang
69759144,SDS Nizamia Andalusia,A,Jl. Raya mabes hankam No. 15-16,Bambu Apus,Cipayung
69772651,SDS Noah,Tidak Terakreditasi,Jl. Kalisari Raya II No. 11,Kalisari,Pasar Rebo
20105733,SDS Notre Dame,A,Jl. Puri Kembang Barat Raya Blok M - Puri Indah,Kembangan Selatan,Kembangan
20105068,SDS Nur Hidayah,B,Jl. Warakas V Gg. 2 No. 102/104,Warakas,Tanjung Priok
20104794,SDS Nurani,B,Jl. Utan Panjang III/50,Utan Panjang,Kemayoran
20109357,SDS Nurani Insani,B,Jl. Petamburan III,Petamburan,Tanah Abang
20105070,SDS Nurul Falah,B,Jl. Sungai Bambu I No. 28,Sungai Bambu,Tanjung Priok
20105071,SDS Nurul Falah I,A,Jl. Dewa Kembar Komp. TNI AL,Semper Timur,Cilincing
20105072,SDS Nurul Falah II,B,Jl. Dewa Kembar Komp. TNI AL,Semper Timur,Cilincing
20105073,SDS Nurul Farhah,B,"Jl. Raya Logistik, Kp. Batu Tumbuh",Tugu Selatan,K o j a
20106309,SDS Nurul Hidayah,B,Jl. H. Jian No. 6,Cipete Utara,Kebayoran Baru
20108326,SDS Nurul Hikmah,A,Jl. Salemba Tegalan I H/12,Pal Meriem,Matraman
20105075,SDS Nurul Huda,B,Jl. Bakti IX No. 27,Semper Timur,Cilincing
20105734,SDS Nurul Huda,B,Jl. Nurul Huda No. 12A,Jati Pulo,Palmerah
20108862,SDS Nurul Huda,B,Jl. Asrama Zeni AD Rt. 005/07,Lubang Buaya,Cipayung
20104299,SDS Nurul Ihsan,A,Jl. Raya Pulo Gebang No.99,Pulo Gebang,Cakung
20105076,SDS Nurul Ikhlas,B,Jl. Baru Gg. II Cilincing,Cilincing,Cilincing
20105077,SDS Nurul Iman,B,Jl. Lagoa Kanal,Kebon Bawang,Tanjung Priok
20109091,SDS Nurul Iman,A,Jl. Kesehatan No. 7 Pondok Bambu Permai,Pondok Bambu,Duren Sawit
20109075,SDS Nurul Islam,B,Jl. Raya Pondok Kopi Blok Y 11,Pondok Kopi,Duren Sawit
20109141,SDS Nurul Islam,B,"Jl. Swadaya IV, Pulojahe No.72b",Jatinegara,Cakung
20105079,SDS Nurul Ittihad,A,Jl. Hidup Baru No. 260,Pademangan Barat,Pademangan
20103875,SDS Nurul Yaqin,Tidak Terakreditasi,Jl. Bekasi Timur IV Dalam,Cipinang Besar Utara,Jatinegara
20105080,SDS Nurul Yaqin,B,Jl. Budi Mulia no.60,Pademangan Barat,Pademangan
69762791,SDS Nurul Yaqin,A,Jalan SDI No. 50,Cililitan,Kramat Jati
20109197,SDS Nusa Melati,B,Jl. Raya Cipayung Setu (Hankam) No. 6,Cipayung,Cipayung
